หมวด,ดาวเทียม/เซนเซอร์,Mode,รายละเอียดภาพ,Polarization,ราคาในคลัง (Archive),ราคาสั่งถ่าย (Tasking),หน่วย,หมายเหตุ
ออปติคอล: รายละเอียดสูงมาก (30–50 ซม.),Pléiades NEO,,30 cm.,,880,"1,270",บาท/ตร.กม.,"สั่งขั้นต่ำ: ในคลัง 25 ตร.กม./สั่งถ่าย 100 ตร.กม.; level Primary (PAN, MS, Pansharpened)"
ออปติคอล: รายละเอียดสูงมาก (30–50 ซม.),WorldView-4,,30 cm.,,920,"1,560",บาท/ตร.กม.,"สั่งขั้นต่ำ: ในคลัง 25 ตร.กม./สั่งถ่าย 100 ตร.กม.; level Primary (PAN, MS, Pansharpened)"
ออปติคอล: รายละเอียดสูงมาก (30–50 ซม.),SuperView-2,,42 cm.,,700,"1,100",บาท/ตร.กม.,"สั่งขั้นต่ำ: ในคลัง 25 ตร.กม./สั่งถ่าย 100 ตร.กม.; level Primary (PAN, MS, Pansharpened)"
ออปติคอล: รายละเอียดสูงมาก (30–50 ซม.),WorldView-1,,50 cm.,,700,"1,100",บาท/ตร.กม.,"สั่งขั้นต่ำ: ในคลัง 25 ตร.กม./สั่งถ่าย 100 ตร.กม.; level Primary (PAN, MS, Pansharpened)"
ออปติคอล: รายละเอียดสูงมาก (30–50 ซม.),WorldView-2,,50 cm.,,700,"1,100",บาท/ตร.กม.,"สั่งขั้นต่ำ: ในคลัง 25 ตร.กม./สั่งถ่าย 100 ตร.กม.; level Primary (PAN, MS, Pansharpened)"
ออปติคอล: รายละเอียดสูงมาก (30–50 ซม.),WorldView-3,,50 cm.,,700,"1,100",บาท/ตร.กม.,"สั่งขั้นต่ำ: ในคลัง 25 ตร.กม./สั่งถ่าย 100 ตร.กม.; level Primary (PAN, MS, Pansharpened)"
ออปติคอล: รายละเอียดสูงมาก (30–50 ซม.),GeoEye-1,,50 cm.,,700,"1,100",บาท/ตร.กม.,"สั่งขั้นต่ำ: ในคลัง 25 ตร.กม./สั่งถ่าย 100 ตร.กม.; level Primary (PAN, MS, Pansharpened)"
ออปติคอล: รายละเอียดสูงมาก (30–50 ซม.),Pléiades,,50 cm.,,490,830,บาท/ตร.กม.,"สั่งขั้นต่ำ: ในคลัง 25 ตร.กม./สั่งถ่าย 100 ตร.กม.; level Primary (PAN, MS, Pansharpened)"
ออปติคอล: รายละเอียดสูงมาก (30–50 ซม.),EarthScanner,,50 cm.,,400,800,บาท/ตร.กม.,"สั่งขั้นต่ำ: ในคลัง 25 ตร.กม./สั่งถ่าย 100 ตร.กม.; level Primary (PAN, MS, Pansharpened)"
ออปติคอล: รายละเอียดสูงมาก (30–50 ซม.),SuperView-1,,50 cm.,,500,900,บาท/ตร.กม.,"สั่งขั้นต่ำ: ในคลัง 25 ตร.กม./สั่งถ่าย 100 ตร.กม.; level Primary (PAN, MS, Pansharpened)"
ออปติคอล: รายละเอียดสูงมาก (30–50 ซม.),KOMPSAT-3,,50 cm.,,400,700,บาท/ตร.กม.,"สั่งขั้นต่ำ: ในคลัง 25 ตร.กม./สั่งถ่าย 100 ตร.กม.; level Primary (PAN, MS, Pansharpened)"
ออปติคอล: รายละเอียดสูงมาก (30–50 ซม.),SKYSAT,,50 cm.,,300,560,บาท/ตร.กม.,"สั่งขั้นต่ำ 1,250 ตร.กม.; สั่งถ่ายโปรดติดต่อเจ้าหน้าที่; เข้าดูผ่าน API/Explorer"
ออปติคอล: รายละเอียดสูง (60 ซม.–2 ม.),QuickBird,,60 cm.,,700,N/A,บาท/ตร.กม.,"สั่งขั้นต่ำ: ในคลัง 25 ตร.กม./สั่งถ่าย 100 ตร.กม.; level Primary (PAN, MS, Pansharpened)"
ออปติคอล: รายละเอียดสูง (60 ซม.–2 ม.),GaoFen-7,,65 cm.,,400,700,บาท/ตร.กม.,"สั่งขั้นต่ำ: ในคลัง 25 ตร.กม./สั่งถ่าย 100 ตร.กม.; level Primary (PAN, MS, Pansharpened)"
ออปติคอล: รายละเอียดสูง (60 ซม.–2 ม.),Jilin,,75 cm.,,300,600,บาท/ตร.กม.,"สั่งขั้นต่ำ: ในคลัง 25 ตร.กม./สั่งถ่าย 100 ตร.กม.; level Primary (PAN, MS, Pansharpened)"
ออปติคอล: รายละเอียดสูง (60 ซม.–2 ม.),DailyVision,,75 cm.,,300,600,บาท/ตร.กม.,"สั่งขั้นต่ำ: ในคลัง 25 ตร.กม./สั่งถ่าย 100 ตร.กม.; level Primary (PAN, MS, Pansharpened)"
